Device,12/08/2026 - 18/08/2026 Clicks,05/08/2026 - 11/08/2026 Clicks,12/08/2026 - 18/08/2026 Impressions,05/08/2026 - 11/08/2026 Impressions,12/08/2026 - 18/08/2026 CTR,05/08/2026 - 11/08/2026 CTR,12/08/2026 - 18/08/2026 Position,05/08/2026 - 11/08/2026 Position
Desktop,0,0,15,0,0%,0%,9.8,0
Mobile,0,0,5,0,0%,0%,7.8,0
