Country,12/08/2026 - 18/08/2026 Clicks,05/08/2026 - 11/08/2026 Clicks,12/08/2026 - 18/08/2026 Impressions,05/08/2026 - 11/08/2026 Impressions,12/08/2026 - 18/08/2026 CTR,05/08/2026 - 11/08/2026 CTR,12/08/2026 - 18/08/2026 Position,05/08/2026 - 11/08/2026 Position
India,0,0,17,0,0%,0%,8.47,0
Hong Kong,0,0,2,0,0%,0%,10,0
Senegal,0,0,1,0,0%,0%,22,0
